TIME_UNITS,Gateway Distance Grd:Goddard,Gateway Distance Grd:Guam,Gateway Distance Grd:WhiteSands,Gateway Distance TDRS13,Gateway Distance TDRS3,Gateway Distance TDRS5,Gateway Distance TDRS7
43860,413335.6644,418250.7825,416050.7385,378064.3872,395960.6253,456730.4978,404410.7404
43890,413329.2849,418263.1589,416044.8808,378030.9732,395882.9101,456734.4148,404500.9045
43920,413322.9051,418275.5171,416039.0117,377997.7384,395805.2748,456738.161,404591.1062
43950,413316.525,418287.8572,416033.1312,377964.6831,395727.7198,456741.7365,404681.345
43980,413310.1448,418300.1792,416027.2393,377931.8075,395650.2454,456745.1413,404771.6207
44010,413303.7643,418312.483,416021.3361,377899.1118,395572.8521,456748.3755,404861.9327
44040,413297.3837,418324.7685,416015.4216,377866.5962,395495.5403,456751.4388,404952.2807
44070,413291.003,418337.0358,416009.4959,377834.261,395418.3104,456754.3315,405042.6642
44100,413284.6223,418349.2848,416003.5589,377802.1063,395341.1628,456757.0535,405133.0828
44130,413278.2416,418361.5154,415997.6108,377770.1324,395264.098,456759.6047,405223.5362
44160,413271.8609,418373.7277,415991.6516,377738.3395,395187.1163,456761.9852,405314.0239
44190,413265.4803,418385.9215,415985.6813,377706.7277,395110.2182,456764.1949,405404.5454
44220,413259.0998,418398.0969,415979.7,377675.2974,395033.4041,456766.2339,405495.1005
44250,413252.7195,418410.2538,415973.7077,377644.0486,394956.6743,456768.1022,405585.6886
44280,413246.3394,418422.3921,415967.7044,377612.9817,394880.0293,456769.7998,405676.3093
44310,413239.9596,418434.5118,415961.6902,377582.0968,394803.4696,456771.3266,405766.9624
44340,413233.5801,418446.613,415955.6651,377551.3942,394726.9954,456772.6827,405857.6472
44370,413227.2009,418458.6955,415949.6292,377520.8739,394650.6073,456773.8681,405948.3635
44400,413220.8222,418470.7593,415943.5825,377490.5364,394574.3056,456774.8828,406039.1108
44430,413214.4438,418482.8043,415937.5251,377460.3817,394498.0908,456775.7267,406129.8888
44460,413208.066,418494.8306,415931.4569,377430.41,394421.9633,456776.3999,406220.6969
44490,413201.6887,418506.8381,415925.3781,377400.6216,394345.9234,456776.9024,406311.5348
44520,413195.3119,418518.8268,415919.2887,377371.0166,394269.9716,456777.2342,406402.4021
44550,413188.9358,418530.7966,415913.1887,377341.5953,394194.1083,456777.3953,406493.2983
44580,413182.5603,418542.7475,415907.0781,377312.3579,394118.3338,456777.3857,406584.2231
44610,413176.1855,418554.6794,415900.9571,377283.3045,394042.6487,456777.2054,406675.1761
44640,413169.8115,418566.5923,415894.8256,377254.4353,393967.0534,456776.8544,406766.1568
44670,413163.4382,418578.4863,415888.6836,377225.7506,393891.5481,456776.3328,406857.1648
44700,413157.0658,418590.3611,415882.5313,377197.2505,393816.1334,456775.6405,406948.1997
44730,413150.6943,418602.2169,415876.3687,377168.9352,393740.8096,456774.7775,407039.2612
44760,413144.3237,418614.0535,415870.1958,377140.805,393665.5772,456773.7439,407130.3487
44790,413137.9541,418625.8709,415864.0126,377112.86,393590.4366,456772.5396,407221.462
44820,413131.5854,418637.6691,415857.8193,377085.1003,393515.3881,456771.1647,407312.6005
44850,413125.2178,418649.4481,415851.6157,377057.5263,393440.4322,456769.6192,407403.7639
44880,413118.8514,418661.2078,415845.4021,377030.138,393365.5693,456767.9031,407494.9518
44910,413112.486,418672.9482,415839.1784,377002.9357,393290.7997,456766.0164,407586.1638
44940,413106.1219,418684.6693,415832.9446,376975.9196,393216.124,456763.9591,407677.3993
44970,413099.7589,418696.3709,415826.7008,376949.0898,393141.5425,456761.7313,407768.6582
45000,413093.3973,418708.0531,415820.4471,376922.4465,393067.0556,456759.3329,407859.9399
45030,413087.037,418719.7159,415814.1835,376895.9899,392992.6637,456756.764,407951.244
45060,413080.678,418731.3591,415807.91,376869.7202,392918.3672,456754.0245,408042.5701
45090,413074.3204,418742.9828,415801.6267,376843.6376,392844.1666,456751.1146,408133.9178
45120,413067.9643,418754.587,415795.3337,376817.7422,392770.0622,456748.0341,408225.2868
45150,413061.6097,418766.1715,415789.0308,376792.0342,392696.0544,456744.7832,408316.6765
45180,413055.2566,418777.7364,415782.7183,376766.5138,392622.1437,456741.3618,408408.0867
45210,413048.9051,418789.2816,415776.3962,376741.1812,392548.3304,456737.77,408499.5168
45240,413042.5552,418800.8071,415770.0644,376716.0365,392474.615,456734.0078,408590.9666
